last_name, first_name,year,player_age,pitch_hand,n,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
German, Domingo,2019,27,R,2247,93.5,2435,19,81.7,2599,5.3,87,2414,20,
Garcia, Luis,2019,32,R,1046,97,2083,16.6,85.2,2315,7.4,86.7,1060,8,
Gallen, Zac,2019,24,R,1387,91.5,2357,16,79.2,2404,13.9,85,1499,13.1,
Fry, Jace,2019,26,L,1054,89.6,2537,7.9,78.4,2412,15.3,86.1,1624,15.5,
Familia, Jeurys,2019,30,R,1041,95.9,2188,18.3,88.1,2245,5.1,92.2,1754,15.3,
Eovaldi, Nathan,2019,29,R,1264,96,2240,15.6,81.2,2182,11.3,87.9,1578,10.3,
Duffy, Danny,2019,31,L,2161,92.3,2232,18.7,82,2320,8.4,83.8,2295,18.6,
Cishek, Steve,2019,33,R,1109,90.5,2383,16.2,78.9,2282,10.8,83.9,1975,16.1,
Cahill, Trevor,2019,31,R,1720,89.7,2192,13.8,79.4,2950,16.6,83.4,1566,13.9,
Buttrey, Ty,2019,26,R,1210,97.1,2233,19.4,83.8,1867,4.3,87.6,1835,18.1,
Bassitt, Chris,2019,30,R,2410,92.6,2187,16.6,70.4,2239,19.5,85,2057,19.8,
Barnes, Matt,2019,29,R,1289,96.6,2412,19.9,85.5,2274,13,88.1,2113,17.2,
Alcantara, Sandy,2019,24,R,3090,95.5,2374,18.4,84.8,2479,6.1,89.1,1923,17,
Albers, Matt,2019,36,R,1005,92.8,2054,18.5,83.4,2405,6.3,83.7,1530,15.3,
Woodruff, Brandon,2019,26,R,1978,96.2,2220,18.2,87.8,2322,4.6,87,1792,18.1,
Walden, Marcus,2019,31,R,1236,93.1,2211,9.7,85.6,2378,10.9,,,,
VerHagen, Drew,2019,29,R,945,93.1,2258,15.8,82.6,2331,12.8,89.1,2127,14.4,
Valdez, Framber,2019,26,L,1175,93.1,2191,13.6,79.4,2960,20.2,88.6,1802,13.1,
Urias, Julio,2019,23,L,1344,95.1,2508,17.6,82.7,2633,8.3,82.2,1855,17.9,
Urena, Jose,2019,28,R,1372,95.8,2156,19.3,85.6,2318,7.2,90.1,1712,18.5,
Turnbull, Spencer,2019,27,R,2659,93.8,2333,13.4,84.2,2493,10,86.6,1810,17.5,
Treinen, Blake,2019,31,R,1000,95.9,2344,17.4,88.5,2609,4.9,,,,
Syndergaard, Noah,2019,27,R,3094,97.6,2151,16.6,85.7,2219,7.7,91.1,1689,17.8,
Stephenson, Robert,2019,26,R,1001,94.9,2434,19.3,84.5,2799,5.9,87.1,1644,15,
Smyly, Drew,2019,30,L,2130,89.9,2073,17.8,77.4,1950,5,82.3,1209,15.8,
Ryan, Kyle,2019,28,L,1052,88.5,2088,9.3,79.8,2424,10.4,84.3,1773,17.1,
Ross, Joe,2019,26,R,1138,94,2115,17.2,86,1984,5.8,87.9,1690,16.6,
Rodriguez, Eduardo,2019,26,L,3380,91.9,2191,15.1,83.3,2252,7.1,87.6,2047,18.6,
Rodriguez, Dereck,2019,27,R,1664,89.7,2077,14.8,75.6,2589,17.4,84.5,1935,17.4,
Quintana, Jose,2019,30,L,2734,91.3,2000,17.3,77,2215,12,86.5,1287,13.4,
Peters, Dillon,2019,27,L,1274,91,2239,17.8,77.6,2846,14.3,84,1606,16.2,
Newcomb, Sean,2019,26,L,1181,94.3,2240,17.8,79.6,2864,18.9,87.4,1618,15,
Means, John,2019,26,L,2680,91.7,2376,20.8,81.6,2298,7.5,80.9,2331,22.2,
McHugh, Collin,2019,32,R,1294,89.7,2382,16.1,78.7,2821,17.4,83.8,1625,16.9,
