,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
7,108DansbyD SwansonSwansonSS108‌‌‌,ATL,--,384,61,92,24,2,13,49,42,105,8,3,0.24,0.32,0.414,0.7340000000000001
8,109DavidD FletcherFletcher3B109‌‌‌,LAA,--,415,50,123,21,3,3,37,34,53,7,2,0.29600000000000004,0.35,0.38299999999999995,0.733
9,110RenatoR NúñezNunez3B110‌‌‌,BAL,--,341,38,78,15,0,18,52,30,99,1,1,0.22899999999999998,0.302,0.431,0.733
10,111AdamA JonesJonesRF111‌‌‌,ARI,--,328,45,85,14,0,12,45,21,68,2,1,0.259,0.317,0.41200000000000003,0.728
11,112EvanE LongoriaLongoria3B112‌‌‌,SF,--,313,41,75,12,1,14,45,25,85,2,1,0.24,0.303,0.419,0.721
12,113RandalR GrichukGrichukCF113‌‌‌,TOR,--,398,51,89,20,2,22,54,19,117,1,1,0.22399999999999998,0.265,0.45,0.715
13,114MannyM MachadoMachado3B114‌‌‌,SD,--,460,62,110,15,1,19,58,47,102,3,1,0.239,0.315,0.4,0.715
14,115WilsonW RamosRamosC115‌‌‌,NYM,--,366,36,99,15,0,9,53,29,54,1,0,0.27,0.32899999999999996,0.385,0.7140000000000001
15,116AmedA RosarioRosarioSS116‌‌‌,NYM,--,468,46,131,18,6,9,54,19,92,16,8,0.28,0.311,0.402,0.713
16,117JoshJ ReddickReddickRF117‌‌‌,HOU,--,391,40,104,14,3,9,46,30,48,4,2,0.266,0.312,0.386,0.698
17,118ElvisE AndrusAndrusSS118‌‌‌,TEX,--,418,56,115,18,2,8,50,22,66,22,7,0.275,0.311,0.385,0.696
18,119MiguelM RojasRojasSS119‌‌‌,MIA,--,345,39,96,23,1,2,32,22,51,9,3,0.278,0.325,0.368,0.693
19,120JeanJ SeguraSeguraSS120‌‌‌,PHI,--,441,45,122,20,3,6,42,21,56,9,1,0.27699999999999997,0.316,0.376,0.693
20,121NickN AhmedAhmedSS121‌‌‌,ARI,--,415,53,97,18,5,13,58,36,90,7,2,0.23399999999999999,0.295,0.395,0.69
21,122MiguelM CabreraCabrera1B122‌‌‌,DET,--,396,31,106,12,0,8,39,35,86,0,0,0.268,0.32899999999999996,0.359,0.687
22,123AlbertA PujolsPujols1B123‌‌‌,LAA,--,326,35,77,13,0,12,56,29,46,2,0,0.23600000000000002,0.299,0.387,0.6859999999999999
23,124StarlinS CastroCastro2B124‌‌‌,MIA,--,472,48,119,24,4,13,65,20,83,2,2,0.252,0.28300000000000003,0.40299999999999997,0.685
24,125KevinK PillarPillarCF125‌‌‌,SF,--,449,61,113,25,3,12,59,10,74,10,2,0.252,0.28,0.401,0.6809999999999999
0,126RougnedR OdorOdor2B126‌‌‌,TEX,--,357,50,68,16,1,21,61,31,121,7,7,0.19,0.26,0.41700000000000004,0.6779999999999999
1,127LorenzoL CainCainCF127‌‌‌,MIL,--,403,49,104,23,0,5,34,34,76,9,7,0.258,0.324,0.35200000000000004,0.677
2,128BrandonB CrawfordCrawfordSS128‌‌‌,SF,--,360,44,81,17,1,10,50,46,89,2,1,0.225,0.313,0.361,0.674
3,129JuricksonJ ProfarProfar2B129‌‌‌,OAK,--,354,46,68,17,2,17,50,35,58,7,1,0.192,0.278,0.395,0.674
4,130LeuryL GarcíaGarciaCF130‌‌‌,CWS,--,394,63,104,14,2,5,26,15,105,11,5,0.264,0.294,0.348,0.642
5,131OrlandoO ArciaArciaSS131‌‌‌,MIL,--,373,36,81,13,0,11,49,32,85,7,3,0.217,0.276,0.34,0.617
6,132MallexM SmithSmithCF132‌‌‌,SEA,--,362,43,77,14,7,5,29,28,104,27,4,0.213,0.28300000000000003,0.331,0.615
7,133HanserH AlbertoAlberto2B133‌‌‌,BAL,--,303,31,72,10,0,7,31,10,25,2,1,0.23800000000000002,0.26899999999999996,0.34,0.609
8,134YolmerY SánchezSanchez2B134‌‌‌,CWS,--,376,45,90,13,3,1,33,34,93,4,3,0.239,0.309,0.298,0.606
9,135KhrisK DavisDavisLF135‌‌‌,OAK,--,351,36,69,11,0,12,48,28,118,0,0,0.19699999999999998,0.258,0.33,0.589
